id,title,subtitle,intro,poster,pubdate,url,rating,star,star_time
3338379031,读库2105,张立宪 主编 / 2021 / 新星出版社,"《蝴蝶之家》由蝴蝶之家现任负责人符晓莉口述，叶小果整理。“蝴蝶之家”是中国第一家儿童临终关怀中心，2010年由英国夫妇金林女士和古英俊先生在长沙市第一社会福利院的支持下创办，开展儿童舒缓及临终关怀的护理服务，接收从福利院转送过来的孤残儿童。本文不仅介绍了蝴蝶之家的创办过程和艰难维持，也带读者见证生命的奇迹，更在传达现代临终关怀服务包括儿童舒缓护理的理念，希望对更多人有启发和借鉴。
垄断在人类历史上出现的时间不长也不短，人类在短短的几百年里已经驯服了大部分垄断。二十世纪最后的十年，反垄断成功驯服了互联网行业的前身计算机与软件行业。但互联网的出现，让垄断又短暂地从笼子里跑了出来。《垄断的困境》的作者王健飞曾写过《互联网是人类历史的一段弯路吗？》（见《读库2005》），本文继续探讨这个领域的话题，与前文不同，这次作者是尝试提出一种全新的框架，即有效垄断和无效垄断，来重新审视企业垄断行为带来的影响，以及如何规避、引导这些影响向社会福祉有利的一面发展。
上世纪九十年代末的沈阳，曾发生过一起闻名全国的“湖西饭店纵火案”，也被称为“中国最大骗保案”，遇难九人。遇难者家属因为得不到应有的赔偿，要求打官司，有五具尸体存放在老葛承包的沈阳市胸科医院太平间里，一存就是十五年。2017年7月，为写老葛的故事，《守尸十五年》一文的作者冯翔去了胸科医院一趟，发现那个太平间还在，心力交瘁的老葛搬去南方跟女儿一起住了。
赵延年被公认为国内创作鲁迅形象最多的版画家，最早的一幅《抗议》创作于1956年。1961年完成的黑白木刻《鲁迅像》最广为人知，这幅作品采用被李桦先生称为“晕刻法”的刻作手法，黑白木刻中出现灰色，此技法也成为赵延年对现代木刻创作的一大贡献。赵晓在《刻画不朽》里深情回忆父亲创作鲁迅题材版画的往事，集中展示了二十余幅赵延年的木刻作品以及一批珍贵的素材画、工作照，极其难得。
克韩老师在《犯错是常态，而不是例外》里以一个实验讲起，模拟框架效应对日常决策的影响：人们在面对不确定的选择时，往往依赖于对事物的描绘，而不是事物的实质。该效应今天已广泛应用于现代社会的各个领域，离不开其提出者：以色列心理学家丹尼尔·卡尼曼（2002年诺贝尔经济学奖获得者）和阿莫斯·特沃斯基。两人通过一系列精妙设计的心理学实验，证明人类其实并没有自己想象的那么理性，即人类并非总是能做出最符合自己利益的最佳选择，原因是他们其实也搞不清哪个是最佳选择。
虽然日本在其他方面给人以谨慎、保守的印象，可唯独在性的领域非常开放，开放到其AV产业独步世界。张宏杰老师的《日本人真的很淫荡吗？》从朝鲜通信使的纪行文集《海行总载》中对日本江户时代的婚俗和性观念入手，同时结合日本本土的伦理传统来阐述其性观念为何与近邻中国和朝鲜如此不同。
关锳字秋芙，十九世纪四五十年代杭州才媛的诗会雅集中，经常能看见她的身影，朋友们称她和蒋坦为神仙眷侣，和美、默契，不亚于李清照赵明诚。林语堂也偏爱秋芙，说她是有“艺术脾性”的人，具备一种与生俱来的灵性，善于感悟与享受自然之美，并节译了《秋灯琐忆》介绍给西方世界。王鹤老师在《疑似神仙眷侣》中写道，这段后人眼中白璧无瑕的爱情神话，其实已有裂纹瑕疵。
宇宙中有没有其他智慧生物？有的话会是什么样子的？这是很多人都想知道答案的迷人问题。卢昌海老师的这份《银河系宜居报告》，以银河系为例，看看智慧生物究竟适合生活在哪里。这份报告不仅提供空间信息，而且包含了时间信息，即不仅告诉我们银河系里哪里最宜居，还告知什么时段最宜居。太阳系恰巧就位于“在银河系生活的最佳地点及时间”。",https://img9.doubanio.com/view/subject/l/public/s34016435.jpg,2021-9-16,https://book.douban.com/subject/35571732/,8.6,4.5,2022-05-02 15:33:05
3271434168,财富自由之路,李笑来 / 2017 / 电子工业出版社,,https://img9.doubanio.com/view/subject/l/public/s29500850.jpg,2017-8,https://book.douban.com/subject/27094706/,8.6,4.5,2022-03-13 09:10:28
3230763109,小狗钱钱,[德]博多·舍费尔 / 2021 / 中信出版集团,"让孩子和家长共同成长的金钱童话。
从此拥有财富，开启富足快乐人生。
你和富足、快乐、自由的人生之间也许就差一本《小狗钱钱》！
▼内容简介
欧美财富启蒙读物！
引导孩子正确认识财富、创造财富的“金钱童话”！
吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它改变了吉娅一家人的财富命运……“欧洲理财大师”博多·舍费尔用生动的理财童话，教会你如何从小学会支配金钱，而不是受金钱的支配；如何像富人那样思考，正确地认识和使用金钱；如何进行理财投资，找到积累资产的方法，早日实现财务自由！",https://img9.doubanio.com/view/subject/l/public/s33789389.jpg,2021-2,https://book.douban.com/subject/35295592/,9.1,4.5,2022-02-09 16:04:01
3183757224,读库2100,张立宪 / 2021,"《读库》每年推出一册00号，不公开发行，仅供内部流通之用。
与此前已经出版的《读库0600》、《读库0700》、《读库0800》等00期一样，《读库2100》是自《读库2000》至《读库2006》的目录索引和内容简介，供大家检索之用，也可了解一些稿件背后的人物和故事，还有2020年读库组织的和相关的讲座精华纪要以及编辑手记。对于那些第一次听说《读库》的朋友来说，也算是一个了解这套丛书的窗口。",https://img9.doubanio.com/view/subject/l/public/s33846609.jpg,2021-2-6,https://book.douban.com/subject/35390838/,8.5,4.5,2022-01-09 00:33:52
3183756971,儿童怎样学习数学,帕梅拉·利贝克 / 1986 / 人民教育出版社,,https://img9.doubanio.com/view/subject/l/public/s33819447.jpg,1986-11,https://book.douban.com/subject/35349438/,0,0,2022-01-09 00:33:43
3139827029,民国旧梦,智效民 / 2014 / 新星出版社,《民国旧梦》以作者个人的“梦”发想，从当下国人的困境和希冀出发，回顾蒋廷黻、胡适、傅斯年、张学良、盛世才等民国时期政学两界人物的梦想、作为和言论，试图带领读者重温民国旧梦，触摸国人生存、拼搏的另一种可能。,https://img9.doubanio.com/view/subject/l/public/s27220025.jpg,2014-2,https://book.douban.com/subject/25818854/,8.1,4,2021-12-07 20:26:29
3043487542,详谈：左晖,李翔 / 2020 / 新星出版社,"《详谈》系列是一个长期的知识工程，是一部以人为单位的当代商业史。作者李翔会找到这个时代优秀的商业实践者和价值创造者，与他们深度对话，把他们的成就、经验、方法和挫败一一呈现给你。
本书呈现了李翔于2017年和2020年两次采访贝壳找房、链家创始人左晖的内容。在这本书中，你可以看到左晖及其团队近20年来的选择与坚持——做难而正确的事，也可以看到他们是怎么创造出这些让我们所有人都变得更好的产品、服务和组织的，又经历过什么样的失败和斗争。
编辑推荐：
◎历时3年，独家一手访谈贝壳找房、链家创始人左晖
◎透过文字，亲历现场，亲“听”左晖及其团队的经验、方法、成就和挫败
◎《详谈》系列，一部以人为单位的当代商业史
◎只需每月一杯咖啡的钱，就能跟这个时代优秀的价值创造者做一次精神上的长谈",https://img9.doubanio.com/view/subject/l/public/s33760817.jpg,2020-11,https://book.douban.com/subject/35254632/,8.2,4,2021-09-20 14:35:18
2976639403,房间里的大象,[以] 伊维塔·泽鲁巴维尔 / 2021 / 中信出版集团,"「内容简介」
关于集体沉默的第一本完整研究著作。
本书从英语谚语“房间里的大象”入手，从社会学角度剖析人们私密生活和公共生活中，对于某些显而易见的事实，集体保持沉默的社会现象，作者将之称为合谋性沉默。作者阐述了合谋性沉默的成因、组成形式、参与者的动机和表现，以及这种沉默对人们社会生活 的影响，并探讨了打破沉默的可能和方式。
「推荐理由」
大象，某种巨大而不可回避的真相。仿佛房间里有一只大象，但所有人都视而不见，甚至绕着它走。被大象逼到了墙角，终于无法自由行动。
恶人的劣言坏行固然可憎，好人视若无睹的沉默更可怕。世上许多不幸，源自没有说出口的事。我们虽然自认只是不赞一辞的旁观者，却在不知不觉中，成了沉默的共谋者……
当我们眼见真理却不发一语，就是我们开始死去的时候。
————————————————————————
对抗沉默，勇于发声，对普通人来讲，是一件特别伟大的事。
————————————————————————
「编辑推荐 」
• 畅销十余年，销量100000+，财经、社科、传媒、法律、文艺界争先引用、一致推荐。
• 绝版已久，时隔八年新版精美出炉。
• 罗辑思维、凤凰网视频、《看理想》、谢泳、熊培云、杜骏飞、崔卫平等力荐。
• 面对罪恶，人们为何沉默？—— 一本讲透“沉默的大 多数”的经典之作。
• “书单来了”380万读者票选“5年内经得起时间考验的经典心理学读物”top5。
「名人推荐」
这一本可以一口气读完的小书，也是一本颇耐寻思的书。对否认进行否认，对沉默保持沉默，是一种对真相的双重把守，视真如仇、守谎如城。
——徐贲，知名学者
伊维塔·泽鲁巴维尔一直有一种非凡的天赋，他能通过一种与众不同、更为丰富的视角来审视人类的日常生活。他在这部引人入胜的作品中指出，当人们把某件事情挡在视线之外，或者以遗忘的方式重新编排记忆时，他们就参与了一种个人表演。但他的主要观点是，那些隐瞒和遗忘以及保持沉默的行为其实是集体行为，是一种合谋，是社交世界的产物。
——《麻烦的新物种：关于灾难，创伤和社区的探索》作者 凯·埃里克森
伊维塔·泽鲁巴维尔以他天才的讽刺手法，以一种无人能及的高度，探讨了这样一个课题，即关于一种人所共知，但又拒绝谈论的社会现象。再一次，泽鲁巴维尔向我们展示了他非凡的才能：在人们只能看到层层迷雾时，他却发现了闪烁的星光。
——《亲密关系的购买》作者 薇薇安娜·泽利泽
「媒体评论」
泽鲁巴维尔知识渊博，尤其精通“集体沉默”这个主题……本书出色地描绘了关于沉默阴谋的社会历史。
——《出版人周刊》",https://img9.doubanio.com/view/subject/l/public/s33968386.jpg,2021-5,https://book.douban.com/subject/35392429/,7.3,3.5,2021-08-01 11:34:53
2974712150,我的事业是父亲,蔡笑晚 / 2007 / 接力出版社,《我的事业是父亲》是一部以讲故事的形式传达生动教育方法的长篇纪实作品，也是一部写给天下父母的励志书，更是一部以“父亲”的名义发出的棒喝：那些只在周末晚上亲一下孩子额头的父亲是失职，更是失败！《我的事业是父亲》作者蔡笑晚是一位平凡的父亲，他有六个小孩，孩子中学以前一直生活在乡村。十多年后，六个孩子个个长大成才，功名赫赫。这位平凡父亲的理念朴素而异样：父亲，就是一生的事业！为完成本书写作，作者历经六年殚精竭虑，不断增删修改。它使得本书既是一部感人至深的教子书，也是一部难得的贮满诸多教子实践、教育理念、可操作、可模拟、可仿照的家庭教育实践读本。本书不艰深，不虚妄。在一个个温暖、细腻的父爱故事中，孩子们点点滴滴的成长令人惊讶也令人欣慰，清晰的教育意识、先进的教育理念以及一则则可以立竿见影的教育细节使得本书成为天下父母的样板：一个合格的父母应该像蔡笑晚那样，把父母这个“事业”兢兢业业做好。正如蔡笑晚所言：把孩子培养成才是天下每位父母最要紧的人生事业，它在所有日常事务中永远排在第一位！苦难或清寂在把“父亲”当“事业”做的理念面前变成了力量，变成的坚持不懈的努力和永远朝向成功的自信。,https://img9.doubanio.com/view/subject/l/public/s2393319.jpg,2007-5,https://book.douban.com/subject/2058840/,7.8,4,2021-07-31 10:48:08
2974249846,蔡笑晚亲子四酷全书,蔡笑晚 / 2014 / 电子工业出版社,,https://img9.doubanio.com/view/subject/l/public/s29457634.jpg,2014-11-1,https://book.douban.com/subject/27051566/,0,0,2021-07-31 00:01:37
